product_id,date,stock_received,damaged_stock,Day,available_stock,damage_percent,Month
153019,2023-03-17,4,2,17,2,50.0,March
848226,2023-03-17,4,2,17,2,50.0,March
965755,2023-03-17,1,0,17,1,0.0,March
39154,2023-03-17,4,0,17,4,0.0,March
34186,2023-03-17,3,2,17,1,66.66666666666666,March
478531,2023-03-17,4,2,17,2,50.0,March
812607,2023-03-17,4,0,17,4,0.0,March
818990,2023-03-17,4,0,17,4,0.0,March
14145,2023-03-17,0,2,17,-2,inf,March
847349,2023-03-17,0,2,17,-2,inf,March
284460,2023-03-17,4,0,17,4,0.0,March
77308,2023-03-17,0,2,17,-2,inf,March
654297,2023-03-17,4,2,17,2,50.0,March
376447,2023-03-17,4,0,17,4,0.0,March
217710,2023-03-17,0,2,17,-2,inf,March
888807,2023-03-17,1,0,17,1,0.0,March
41853,2023-03-17,4,0,17,4,0.0,March
257719,2023-03-17,4,0,17,4,0.0,March
741341,2023-03-17,0,2,17,-2,inf,March
500633,2023-03-17,0,2,17,-2,inf,March
799952,2023-03-17,3,0,17,3,0.0,March
833557,2023-03-17,4,0,17,4,0.0,March
324809,2023-03-17,1,0,17,1,0.0,March
455083,2023-03-17,0,2,17,-2,inf,March
592784,2023-03-17,3,0,17,3,0.0,March
578097,2023-03-17,0,2,17,-2,inf,March
487065,2023-03-17,4,0,17,4,0.0,March
734789,2023-03-17,4,0,17,4,0.0,March
949818,2023-03-17,0,2,17,-2,inf,March
654623,2023-03-17,4,0,17,4,0.0,March
378230,2023-03-17,0,2,17,-2,inf,March
990993,2023-03-17,1,0,17,1,0.0,March
762527,2023-03-17,4,0,17,4,0.0,March
602241,2023-03-17,1,2,17,-1,200.0,March
491521,2023-03-17,3,0,17,3,0.0,March
832348,2023-03-17,3,2,17,1,66.66666666666666,March
567671,2023-03-17,4,0,17,4,0.0,March
991434,2023-03-17,0,2,17,-2,inf,March
540618,2023-03-17,3,0,17,3,0.0,March
107548,2023-03-17,0,2,17,-2,inf,March
687218,2023-03-17,3,2,17,1,66.66666666666666,March
328457,2023-03-17,3,0,17,3,0.0,March
300159,2023-03-17,3,2,17,1,66.66666666666666,March
